timestamp,route,direction,staCode,busPlate,status,speed
2026-07-06T08:30:58.981386+08:00,73,0,T556,AB6049,0,44
2026-07-06T08:30:58.981386+08:00,73,0,T423,AB6615,1,32
2026-07-06T08:30:58.981386+08:00,73,0,M172/16,AB6136,1,16
2026-07-06T08:30:58.981386+08:00,73,0,M231,AA3041,0,4
2026-07-06T08:30:58.981386+08:00,73,0,M219,AB6393,0,27
2026-07-06T08:30:58.981386+08:00,73,0,T430,AA7619,0,3
2026-07-06T08:30:58.981386+08:00,73,0,T559,AA5945,1,46
2026-07-06T08:30:58.981386+08:00,73,0,T555/2,AB6613,0,16
2026-07-06T08:30:58.981386+08:00,73,0,T550/4,AB6171,1,
2026-07-06T08:32:05.403408+08:00,73,0,T557,AB6049,1,44
2026-07-06T08:32:05.403408+08:00,73,0,T421,AB6615,1,32
2026-07-06T08:32:05.403408+08:00,73,0,M172/16,AB6136,1,16
2026-07-06T08:32:05.403408+08:00,73,0,M219,AA3041,1,4
2026-07-06T08:32:05.403408+08:00,73,0,M50,AB6393,1,27
2026-07-06T08:32:05.403408+08:00,73,0,T430,AA7619,0,3
2026-07-06T08:32:05.403408+08:00,73,0,T552,AA5945,1,46
2026-07-06T08:32:05.403408+08:00,73,0,T550/4,AB6171,1,
2026-07-06T08:32:05.403408+08:00,73,0,T550/4,AB6613,1,
2026-07-06T08:33:11.198340+08:00,73,0,T558,AB6049,0,44
2026-07-06T08:33:11.198340+08:00,73,0,T421,AB6615,0,32
2026-07-06T08:33:11.198340+08:00,73,0,M172/16,AB6136,0,16
2026-07-06T08:33:11.198340+08:00,73,0,M219,AA3041,0,4
2026-07-06T08:33:11.198340+08:00,73,0,M50,AB6393,1,27
2026-07-06T08:33:11.198340+08:00,73,0,T328,AA7619,1,3
2026-07-06T08:33:11.198340+08:00,73,0,T554,AA5945,1,46
2026-07-06T08:33:11.198340+08:00,73,0,T550/4,AB6171,1,
2026-07-06T08:33:11.198340+08:00,73,0,T550/4,AB6613,1,
2026-07-06T08:34:16.440485+08:00,73,0,T558,AB6049,0,44
2026-07-06T08:34:16.440485+08:00,73,0,T421,AB6615,0,32
2026-07-06T08:34:16.440485+08:00,73,0,M172/16,AB6136,0,16
2026-07-06T08:34:16.440485+08:00,73,0,M219,AA3041,0,4
2026-07-06T08:34:16.440485+08:00,73,0,M50,AB6393,0,27
2026-07-06T08:34:16.440485+08:00,73,0,T328,AA7619,0,3
2026-07-06T08:34:16.440485+08:00,73,0,T554,AA5945,0,46
2026-07-06T08:34:16.440485+08:00,73,0,T550/4,AB6613,1,
2026-07-06T08:35:22.081548+08:00,73,0,T551/1,AB6049,0,44
2026-07-06T08:35:22.081548+08:00,73,0,T421,AB6615,0,32
2026-07-06T08:35:22.081548+08:00,73,0,M172/16,AB6136,0,16
2026-07-06T08:35:22.081548+08:00,73,0,M219,AA3041,0,4
2026-07-06T08:35:22.081548+08:00,73,0,M50,AB6393,0,27
2026-07-06T08:35:22.081548+08:00,73,0,T420,AA7619,1,3
2026-07-06T08:35:22.081548+08:00,73,0,T555/2,AA5945,0,46
2026-07-06T08:35:22.081548+08:00,73,0,T550/4,AB6613,1,
