timestamp,route,direction,staCode,busPlate,status,speed
2026-07-06T09:45:42.143321+08:00,51A,0,M108/1,AA7492,1,25
2026-07-06T09:45:42.143321+08:00,51A,0,M1/17,AA7586,1,2
2026-07-06T09:45:42.143321+08:00,51A,0,M235/1,AA7032,0,30
2026-07-06T09:45:42.143321+08:00,51A,0,M235/1,AA7167,1,20
2026-07-06T09:45:42.143321+08:00,51A,0,T358,AA6753,0,26
2026-07-06T09:45:42.143321+08:00,51A,0,T359,AA7793,0,17
2026-07-06T09:45:43.326723+08:00,51A,1,C689/2,AA7507,0,15
2026-07-06T09:45:43.326723+08:00,51A,1,T395,AA7257,0,24
2026-07-06T09:45:43.326723+08:00,51A,1,T406,AA6959,0,13
2026-07-06T09:45:43.326723+08:00,51A,1,T317,AA7603,0,17
2026-07-06T09:45:43.326723+08:00,51A,1,M286,AA7687,0,12
2026-07-06T09:45:43.326723+08:00,51A,1,M286,AA7523,0,2
2026-07-06T09:45:43.326723+08:00,51A,1,M65,AA6835,0,8
2026-07-06T09:46:54.500330+08:00,51A,0,M108/1,AA7492,0,25
2026-07-06T09:46:54.500330+08:00,51A,0,M1/17,AA7586,0,2
2026-07-06T09:46:54.500330+08:00,51A,0,M235/1,AA7032,0,30
2026-07-06T09:46:54.500330+08:00,51A,0,M235/1,AA7167,0,20
2026-07-06T09:46:54.500330+08:00,51A,0,T373/2,AA6753,0,26
2026-07-06T09:46:54.500330+08:00,51A,0,C688/2,AA7793,1,17
2026-07-06T09:46:55.686488+08:00,51A,1,C689/2,AA7507,0,15
2026-07-06T09:46:55.686488+08:00,51A,1,T374,AA7257,1,24
2026-07-06T09:46:55.686488+08:00,51A,1,T406,AA6959,0,13
2026-07-06T09:46:55.686488+08:00,51A,1,T317,AA7603,0,17
2026-07-06T09:46:55.686488+08:00,51A,1,M286,AA7687,0,12
2026-07-06T09:46:55.686488+08:00,51A,1,M286,AA7523,0,2
2026-07-06T09:46:55.686488+08:00,51A,1,M93,AA6835,1,
2026-07-06T09:48:05.427128+08:00,51A,0,M60,AA7492,1,25
2026-07-06T09:48:05.427128+08:00,51A,0,M1/17,AA7586,0,2
2026-07-06T09:48:05.427128+08:00,51A,0,M235/1,AA7167,0,20
2026-07-06T09:48:05.427128+08:00,51A,0,T316,AA7032,1,30
2026-07-06T09:48:05.427128+08:00,51A,0,T367,AA6753,0,26
2026-07-06T09:48:05.427128+08:00,51A,0,C690/1,AA7793,1,
2026-07-06T09:48:06.572629+08:00,51A,1,T360,AA7507,0,15
2026-07-06T09:48:06.572629+08:00,51A,1,T406,AA7257,0,24
2026-07-06T09:48:06.572629+08:00,51A,1,T345/1,AA6959,1,13
2026-07-06T09:48:06.572629+08:00,51A,1,T317,AA7603,0,17
2026-07-06T09:48:06.572629+08:00,51A,1,M286,AA7523,0,2
2026-07-06T09:48:06.572629+08:00,51A,1,M206,AA7687,0,12
2026-07-06T09:48:06.572629+08:00,51A,1,M93,AA6835,1,
2026-07-06T09:49:15.018762+08:00,51A,0,M60,AA7492,0,25
2026-07-06T09:49:15.018762+08:00,51A,0,M222/2,AA7586,1,2
2026-07-06T09:49:15.018762+08:00,51A,0,M235/1,AA7167,0,20
2026-07-06T09:49:15.018762+08:00,51A,0,T316,AA7032,0,30
2026-07-06T09:49:15.018762+08:00,51A,0,T394,AA6753,0,26
2026-07-06T09:49:15.018762+08:00,51A,0,C690/1,AA7793,1,
2026-07-06T09:49:15.725556+08:00,51A,1,T378,AA7507,0,15
2026-07-06T09:49:15.725556+08:00,51A,1,T406,AA7257,0,24
2026-07-06T09:49:15.725556+08:00,51A,1,T345/1,AA6959,0,13
2026-07-06T09:49:15.725556+08:00,51A,1,T317,AA7603,0,17
2026-07-06T09:49:15.725556+08:00,51A,1,M206,AA7687,0,12
2026-07-06T09:49:15.725556+08:00,51A,1,M206,AA7523,1,2
2026-07-06T09:49:15.725556+08:00,51A,1,M93,AA6835,1,
2026-07-06T09:50:23.135729+08:00,51A,0,M60,AA7492,0,25
2026-07-06T09:50:23.135729+08:00,51A,0,M222/2,AA7586,0,2
2026-07-06T09:50:23.135729+08:00,51A,0,M235/1,AA7167,0,20
2026-07-06T09:50:23.135729+08:00,51A,0,T316,AA7032,0,30
2026-07-06T09:50:23.135729+08:00,51A,0,T396,AA6753,0,26
2026-07-06T09:50:23.135729+08:00,51A,0,C690/1,AA7793,1,
2026-07-06T09:50:24.322858+08:00,51A,1,C690/1,AA7088,1,34
2026-07-06T09:50:24.322858+08:00,51A,1,T397,AA7507,0,15
2026-07-06T09:50:24.322858+08:00,51A,1,T406,AA7257,0,24
2026-07-06T09:50:24.322858+08:00,51A,1,T345/1,AA6959,0,13
2026-07-06T09:50:24.322858+08:00,51A,1,M286,AA7603,0,17
2026-07-06T09:50:24.322858+08:00,51A,1,M206,AA7687,0,12
2026-07-06T09:50:24.322858+08:00,51A,1,M206,AA7523,0,2
2026-07-06T09:50:24.322858+08:00,51A,1,M93,AA6835,1,
